region,wave_year,metric,estimate,std.error,ci_low,ci_high,effective_n,n,status
Samarkand oblast,2016,upward_mobility_rate,0.2268215683973828,0.0326075225429927,0.1629119985880392,0.29073113820672636,164.94094303651832,216,ok
Samarkand region,2022,rank_rank_slope,0.12742387866098842,0.04871134837087774,0.030447033538961346,0.2244007237830155,39.508097629707336,80,ok
Samarkand region,2022,upward_mobility_rate,0.26872246868769256,0.07052612881950991,0.1304937962324208,0.4069511411429643,39.508097629707336,80,ok
Sirdarya oblast,2016,rank_rank_slope,0.33777925942673764,0.13385544163849072,0.06783403445019814,0.6077244844032772,33.23613013830603,45,ok
Sirdarya oblast,2016,upward_mobility_rate,0.3437273551128413,0.08238420853869294,0.182257273482166,0.5051974367435166,33.23613013830603,45,ok
Surkhandarya region,2022,rank_rank_slope,0.17978606619198056,0.1262558831194348,-0.07259584802166497,0.4321679804056261,35.53897731906463,64,ok
Surkhandarya region,2022,upward_mobility_rate,0.2136760450333104,0.06875847065406077,0.07891191891929711,0.3484401711473237,35.53897731906463,64,ok
Syrdarya oblast,2010,rank_rank_slope,-0.1956174404321038,0.11539782047658781,-0.4281864659821014,0.03695158511789384,43.95254467110503,46,ok
Syrdarya oblast,2010,upward_mobility_rate,0.3700309453086412,0.07282602718118608,0.2272945548963815,0.5127673357209009,43.95254467110503,46,ok
Tashkent,2016,rank_rank_slope,0.3453838160641662,0.0674066140030886,0.21226868929327775,0.4784989428350546,121.89846744824749,163,ok
Tashkent,2016,upward_mobility_rate,0.26153724892077546,0.03980447954203126,0.18352190259503282,0.3395525952465181,121.89846744824749,163,ok
Tashkent city,2010,rank_rank_slope,0.04439266854480872,0.08125967209097724,-0.11634699471348706,0.2051323318031045,121.08865906111704,134,ok
Tashkent city,2022,rank_rank_slope,0.7342603434368494,0.08982164584909748,0.5542537426465205,0.9142669442271784,27.66327044912237,57,ok
Tashkent city,2010,upward_mobility_rate,0.40522990198895736,0.044614247323524966,0.31778758403748597,0.49267221994042876,121.08865906111704,134,ok
Tashkent city,2022,upward_mobility_rate,0.03379698105168684,0.034357486764463305,0,0.10113641770934649,27.66327044912237,57,ok
Tashkent oblast,2010,rank_rank_slope,0.1721861639333823,0.09583661513065055,-0.017927900719613504,0.3623002285863781,93.2986286919318,103,ok
Tashkent oblast,2016,rank_rank_slope,0.20540252061731595,0.07262723530424646,0.06199753336007224,0.34880750787455966,129.02598678733435,166,ok
Tashkent oblast,2010,upward_mobility_rate,0.33153441739452977,0.04873783189444232,0.2360100221968553,0.42705881259220424,93.2986286919318,103,ok
Tashkent oblast,2016,upward_mobility_rate,0.33296514199664257,0.04148919946875333,0.2516478052904877,0.41428247870279744,129.02598678733435,166,ok
Tashkent region,2022,rank_rank_slope,0.3066884978380378,0.11506231909487738,0.07660717083170748,0.5367698248443682,38.75458913465623,63,ok
Tashkent region,2022,upward_mobility_rate,0.21671722825002004,0.06618269340808383,0.08700153277031933,0.3464329237297208,38.75458913465623,63,ok
