model,term,estimate,std.error,statistic,p.value,model_family,specification,specification_label,n_used
eq4_upward_full_lpm_demographic,parent_ed_level::lower_secondary,0.49709577665832866,0.044240714964831764,11.23616056054891,4.5804120018014925e-8,eq4_upward_full_lpm,demographic,Add standard demographics,2767
eq4_upward_full_lpm_demographic,parent_ed_level::post_secondary_non_tertiary,0.011138941109888367,0.050883166418697966,0.21891210578819553,0.8301179302297179,eq4_upward_full_lpm,demographic,Add standard demographics,2767
eq4_upward_full_lpm_demographic,parent_ed_level::tertiary,-0.4228641053955825,0.054477472637238476,-7.7621828789930065,3.106778478771659e-6,eq4_upward_full_lpm,demographic,Add standard demographics,2767
eq4_upward_full_lpm_demographic,urban,-0.011566245505767547,0.017674985773967485,-0.6543849966093231,0.524272571852952,eq4_upward_full_lpm,demographic,Add standard demographics,2767
eq4_upward_full_lpm_demographic,female,-0.01686578987516614,0.015017299922701503,-1.1230906995251717,0.28171241642638,eq4_upward_full_lpm,demographic,Add standard demographics,2767
eq4_upward_lowparent_lpm_demographic,parent_ed_level::no_formal,0.642721197723143,0.07199526438872585,8.927270469525359,6.600101325336333e-7,eq4_upward_lowparent_lpm,demographic,Add standard demographics,1570
eq4_upward_lowparent_lpm_demographic,parent_ed_level::primary,0.73880526374938,0.02983338453614909,24.764379745589046,2.5248106182024264e-12,eq4_upward_lowparent_lpm,demographic,Add standard demographics,1570
eq4_upward_lowparent_lpm_demographic,parent_ed_level::lower_secondary,0.5635053862798318,0.03642801827932968,15.469010198657479,9.43691546234212e-10,eq4_upward_lowparent_lpm,demographic,Add standard demographics,1570
eq4_upward_lowparent_lpm_demographic,urban,-0.010703426779678577,0.030517339605349473,-0.3507326299767737,0.7314071681844558,eq4_upward_lowparent_lpm,demographic,Add standard demographics,1570
eq4_upward_lowparent_lpm_demographic,female,-0.05289955366526857,0.021575574605378685,-2.4518259482220683,0.029112914726726495,eq4_upward_lowparent_lpm,demographic,Add standard demographics,1570
eq5_persistence_heterogeneity_demographic,parent_ed_score,0.0827927428449004,0.012763389094293661,6.486736573902297,2.0454814039814266e-5,eq5_persistence_heterogeneity,demographic,Add standard demographics,2767
