subgroup_type,subgroup_value,wave_year,metric,estimate,n,status
region,Khorezm oblast,2010,downward_mobility_rate,0.08450704225352113,71,ok
region,Khorezm oblast,2010,persistence_probability,0.5352112676056338,71,ok
region,Namangan oblast,2010,upward_mobility_rate,0.42105263157894735,133,ok
region,Namangan oblast,2010,downward_mobility_rate,0.05263157894736842,133,ok
region,Namangan oblast,2010,persistence_probability,0.5263157894736842,133,ok
region,Navoi oblast,2010,upward_mobility_rate,NA,26,small_n
region,Navoi oblast,2010,downward_mobility_rate,NA,26,small_n
region,Navoi oblast,2010,persistence_probability,NA,26,small_n
region,Samarkand oblast,2010,upward_mobility_rate,0.3103448275862069,116,ok
region,Samarkand oblast,2010,downward_mobility_rate,0.1206896551724138,116,ok
region,Samarkand oblast,2010,persistence_probability,0.5689655172413793,116,ok
region,Syrdarya oblast,2010,upward_mobility_rate,0.43243243243243246,37,ok
region,Syrdarya oblast,2010,downward_mobility_rate,0.13513513513513514,37,ok
region,Syrdarya oblast,2010,persistence_probability,0.43243243243243246,37,ok
region,Tashkent city,2010,upward_mobility_rate,0.4659090909090909,88,ok
region,Tashkent city,2010,downward_mobility_rate,0.045454545454545456,88,ok
region,Tashkent city,2010,persistence_probability,0.48863636363636365,88,ok
region,Tashkent oblast,2010,upward_mobility_rate,0.3770491803278688,61,ok
region,Tashkent oblast,2010,downward_mobility_rate,0.11475409836065574,61,ok
region,Tashkent oblast,2010,persistence_probability,0.5081967213114754,61,ok
region,Bukhara oblast,2016,upward_mobility_rate,0.16216216216216217,37,ok
region,Bukhara oblast,2016,downward_mobility_rate,0.08108108108108109,37,ok
region,Bukhara oblast,2016,persistence_probability,0.7567567567567568,37,ok
region,Jizzak oblast,2016,upward_mobility_rate,0.16666666666666666,36,ok
region,Jizzak oblast,2016,downward_mobility_rate,0.08333333333333333,36,ok
region,Jizzak oblast,2016,persistence_probability,0.75,36,ok
region,Karakalpakistan AR,2016,upward_mobility_rate,0.2807017543859649,57,ok
region,Karakalpakistan AR,2016,downward_mobility_rate,0.03508771929824561,57,ok
region,Karakalpakistan AR,2016,persistence_probability,0.6842105263157895,57,ok
region,Khorezm oblast,2016,upward_mobility_rate,0.22916666666666666,48,ok
region,Khorezm oblast,2016,downward_mobility_rate,0.0625,48,ok
region,Khorezm oblast,2016,persistence_probability,0.7083333333333334,48,ok
region,Namangan oblast,2016,upward_mobility_rate,0.17333333333333334,75,ok
region,Namangan oblast,2016,downward_mobility_rate,0.09333333333333334,75,ok
region,Namangan oblast,2016,persistence_probability,0.7333333333333333,75,ok
region,Navoi oblast,2016,upward_mobility_rate,NA,13,small_n
region,Navoi oblast,2016,downward_mobility_rate,NA,13,small_n
region,Navoi oblast,2016,persistence_probability,NA,13,small_n
region,Samarkand oblast,2016,upward_mobility_rate,0.19791666666666666,96,ok
region,Samarkand oblast,2016,downward_mobility_rate,0.0625,96,ok
region,Samarkand oblast,2016,persistence_probability,0.7395833333333334,96,ok
region,Sirdarya oblast,2016,upward_mobility_rate,NA,24,small_n
region,Sirdarya oblast,2016,downward_mobility_rate,NA,24,small_n
region,Sirdarya oblast,2016,persistence_probability,NA,24,small_n
region,Tashkent,2016,upward_mobility_rate,0.30612244897959184,49,ok
region,Tashkent,2016,downward_mobility_rate,0.04081632653061224,49,ok
region,Tashkent,2016,persistence_probability,0.6530612244897959,49,ok
region,Tashkent oblast,2016,upward_mobility_rate,0.37349397590361444,83,ok
region,Tashkent oblast,2016,downward_mobility_rate,0.10843373493975904,83,ok
region,Tashkent oblast,2016,persistence_probability,0.5180722891566265,83,ok
region,Andijan region,2022,upward_mobility_rate,0,35,ok
region,Andijan region,2022,downward_mobility_rate,0,35,ok
region,Andijan region,2022,persistence_probability,1,35,ok
region,Bukhara region,2022,upward_mobility_rate,NA,11,small_n
region,Bukhara region,2022,downward_mobility_rate,NA,11,small_n
region,Bukhara region,2022,persistence_probability,NA,11,small_n
region,Djizak region,2022,upward_mobility_rate,NA,8,small_n
region,Djizak region,2022,downward_mobility_rate,NA,8,small_n
region,Djizak region,2022,persistence_probability,NA,8,small_n
region,Fergana region,2022,upward_mobility_rate,NA,21,small_n
region,Fergana region,2022,downward_mobility_rate,NA,21,small_n
region,Fergana region,2022,persistence_probability,NA,21,small_n
region,Karakalpakstan region,2022,upward_mobility_rate,NA,2,small_n
region,Karakalpakstan region,2022,downward_mobility_rate,NA,2,small_n
region,Karakalpakstan region,2022,persistence_probability,NA,2,small_n
region,Kashkadarya region,2022,upward_mobility_rate,NA,13,small_n
region,Kashkadarya region,2022,downward_mobility_rate,NA,13,small_n
region,Kashkadarya region,2022,persistence_probability,NA,13,small_n
region,Khorezm region,2022,upward_mobility_rate,NA,4,small_n
region,Khorezm region,2022,downward_mobility_rate,NA,4,small_n
region,Khorezm region,2022,persistence_probability,NA,4,small_n
region,Namangan region,2022,upward_mobility_rate,NA,16,small_n
region,Namangan region,2022,downward_mobility_rate,NA,16,small_n
region,Namangan region,2022,persistence_probability,NA,16,small_n
region,Navoi region,2022,upward_mobility_rate,NA,4,small_n
region,Navoi region,2022,downward_mobility_rate,NA,4,small_n
region,Navoi region,2022,persistence_probability,NA,4,small_n
region,Samarkand region,2022,upward_mobility_rate,NA,6,small_n
region,Samarkand region,2022,downward_mobility_rate,NA,6,small_n
region,Samarkand region,2022,persistence_probability,NA,6,small_n
region,Surkhandarya region,2022,upward_mobility_rate,NA,20,small_n
region,Surkhandarya region,2022,downward_mobility_rate,NA,20,small_n
region,Surkhandarya region,2022,persistence_probability,NA,20,small_n
region,Syrdarya region,2022,upward_mobility_rate,NA,1,small_n
region,Syrdarya region,2022,downward_mobility_rate,NA,1,small_n
region,Syrdarya region,2022,persistence_probability,NA,1,small_n
region,Tashkent city,2022,upward_mobility_rate,NA,2,small_n
region,Tashkent city,2022,downward_mobility_rate,NA,2,small_n
region,Tashkent city,2022,persistence_probability,NA,2,small_n
region,Tashkent region,2022,upward_mobility_rate,NA,9,small_n
region,Tashkent region,2022,downward_mobility_rate,NA,9,small_n
region,Tashkent region,2022,persistence_probability,NA,9,small_n
cohort,25-34,2010,rank_rank_slope,0.19026230800025992,330,ok
cohort,35-44,2010,rank_rank_slope,0.09561258837531769,302,ok
cohort,45-54,2010,rank_rank_slope,0.13549430389195724,204,ok
cohort,55-64,2010,rank_rank_slope,0.22592554345019858,102,ok
cohort,25-34,2016,rank_rank_slope,0.3546597780403016,314,ok
cohort,35-44,2016,rank_rank_slope,0.37609005923408445,321,ok
cohort,45-54,2016,rank_rank_slope,0.3080195238628812,284,ok
cohort,55-64,2016,rank_rank_slope,0.17463948085636583,267,ok
cohort,25-34,2022,rank_rank_slope,0.47617416578386845,250,ok
cohort,35-44,2022,rank_rank_slope,0.314243005057776,230,ok
cohort,45-54,2022,rank_rank_slope,0.3453849163046385,188,ok
cohort,55-64,2022,rank_rank_slope,0.1854749417913231,114,ok
cohort,25-34,2010,upward_mobility_rate,0.2222222222222222,252,ok
cohort,25-34,2010,downward_mobility_rate,0.15873015873015872,252,ok
cohort,25-34,2010,persistence_probability,0.6190476190476191,252,ok
cohort,35-44,2010,upward_mobility_rate,0.405982905982906,234,ok
cohort,35-44,2010,downward_mobility_rate,0.07692307692307693,234,ok
cohort,35-44,2010,persistence_probability,0.5170940170940171,234,ok
cohort,45-54,2010,upward_mobility_rate,0.5986394557823129,147,ok
cohort,45-54,2010,downward_mobility_rate,0.07482993197278912,147,ok
cohort,45-54,2010,persistence_probability,0.32653061224489793,147,ok
cohort,55-64,2010,upward_mobility_rate,0.5166666666666667,60,ok
cohort,55-64,2010,downward_mobility_rate,0.03333333333333333,60,ok
cohort,55-64,2010,persistence_probability,0.45,60,ok
cohort,25-34,2016,upward_mobility_rate,0.13559322033898305,118,ok
cohort,25-34,2016,downward_mobility_rate,0.1271186440677966,118,ok
cohort,25-34,2016,persistence_probability,0.7372881355932204,118,ok
cohort,35-44,2016,upward_mobility_rate,0.19310344827586207,145,ok
cohort,35-44,2016,downward_mobility_rate,0.0896551724137931,145,ok
cohort,35-44,2016,persistence_probability,0.7172413793103448,145,ok
cohort,45-54,2016,upward_mobility_rate,0.22962962962962963,135,ok
cohort,45-54,2016,downward_mobility_rate,0.022222222222222223,135,ok
cohort,45-54,2016,persistence_probability,0.7481481481481481,135,ok
cohort,55-64,2016,upward_mobility_rate,0.45,120,ok
cohort,55-64,2016,downward_mobility_rate,0.058333333333333334,120,ok
cohort,55-64,2016,persistence_probability,0.49166666666666664,120,ok
cohort,25-34,2022,upward_mobility_rate,0,30,ok
cohort,25-34,2022,downward_mobility_rate,0.06666666666666667,30,ok
cohort,25-34,2022,persistence_probability,0.9333333333333333,30,ok
cohort,35-44,2022,upward_mobility_rate,0.04878048780487805,41,ok
cohort,35-44,2022,downward_mobility_rate,0,41,ok
cohort,35-44,2022,persistence_probability,0.9512195121951219,41,ok
cohort,45-54,2022,upward_mobility_rate,0.02127659574468085,47,ok
cohort,45-54,2022,downward_mobility_rate,0,47,ok
cohort,45-54,2022,persistence_probability,0.9787234042553191,47,ok
cohort,55-64,2022,upward_mobility_rate,0,34,ok
cohort,55-64,2022,downward_mobility_rate,0,34,ok
cohort,55-64,2022,persistence_probability,1,34,ok
