scenario_id,parent_proxy,split_rule,split_threshold,use_weights,model,outcome,n_used,status,support_reason,term,estimate,std.error,statistic,p.value
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m2_school_closed_no_online,school_closed_no_online,183,estimated,NA,parent_low_edu,-0.16300695073290952,1.35233668562244,-0.1205372541216556,0.9040575702454714
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m2_school_closed_no_online,school_closed_no_online,183,estimated,NA,urban,-0.5069420508995901,1.0556170840447687,-0.48023289747941467,0.6310617970306907
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m2_school_closed_no_online,school_closed_no_online,183,estimated,NA,parent_low_edu:urban,0.46852290201678093,1.6561562387751843,0.2828977671595034,0.777255206248481
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m3_education_stopped_covid,education_stopped_covid,183,estimated,NA,parent_low_edu,0.8899925982641306,0.6609240959607852,1.3465882144459396,0.17811289198127023
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m3_education_stopped_covid,education_stopped_covid,183,estimated,NA,urban,0.19963096523573898,1.4784118855281194,0.13503068203785892,0.8925876157244489
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m3_education_stopped_covid,education_stopped_covid,183,estimated,NA,parent_low_edu:urban,-0.48084262428783764,0.8839968818585439,-0.5439415388851807,0.5864817030646244
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m4_any_remote_challenge,any_remote_challenge,173,estimated,NA,parent_low_edu,0.47574620874422013,0.40998235663008104,1.1604065420148715,0.2458833244852143
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m4_any_remote_challenge,any_remote_challenge,173,estimated,NA,urban,0.45362784154009184,0.7108240403035028,0.638171777851527,0.5233618664075783
weighted_leq11,mean_parent_years,leq_11,11,TRUE,m4_any_remote_challenge,any_remote_challenge,173,estimated,NA,parent_low_edu:urban,-1.8128035844541548,0.7205924438866731,-2.5157127303145197,0.0118791963611194
weighted_leq9,mean_parent_years,leq_9,9,TRUE,m1_switched_online,switched_online,183,degenerate_support,group_n_below_15;event_support_below_2,NA,NA,NA,NA,NA
weighted_leq9,mean_parent_years,leq_9,9,TRUE,m2_school_closed_no_online,school_closed_no_online,183,degenerate_support,group_n_below_15,NA,NA,NA,NA,NA
weighted_leq9,mean_parent_years,leq_9,9,TRUE,m3_education_stopped_covid,education_stopped_covid,183,degenerate_support,group_n_below_15,NA,NA,NA,NA,NA
weighted_leq9,mean_parent_years,leq_9,9,TRUE,m4_any_remote_challenge,any_remote_challenge,173,degenerate_support,group_n_below_15,NA,NA,NA,NA,NA
weighted_median_maxparent,max_parent_level,median,16,TRUE,m1_switched_online,switched_online,183,degenerate_support,group_n_below_15;event_support_below_2,NA,NA,NA,NA,NA
weighted_median_maxparent,max_parent_level,median,16,TRUE,m2_school_closed_no_online,school_closed_no_online,183,degenerate_support,group_n_below_15;event_support_below_2,NA,NA,NA,NA,NA
weighted_median_maxparent,max_parent_level,median,16,TRUE,m3_education_stopped_covid,education_stopped_covid,183,degenerate_support,group_n_below_15;event_support_below_2,NA,NA,NA,NA,NA
weighted_median_maxparent,max_parent_level,median,16,TRUE,m4_any_remote_challenge,any_remote_challenge,173,degenerate_support,group_n_below_15;event_support_below_2,NA,NA,NA,NA,NA
