model,formula
eq2_persistence_trend,"own_rank ~ parent_rank + i(wave_year_fe, parent_rank, ref = ""2010"") + urban + female + migration_exposure + multigenerational_hh | region + cohort + wave_year_fe"
eq3_attainment_score,own_ed_score ~ parent_ed_score + urban + female + migration_exposure + multigenerational_hh | region + cohort + wave_year_fe
eq4_upward_full_lpm,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") + urban + female + migration_exposure + multigenerational_hh | region + cohort + wave_year_fe"
eq4_upward_lowparent_lpm,"upward_any ~ i(parent_ed_level, ref = ""upper_secondary"") + urban + female + migration_exposure + multigenerational_hh | region + cohort + wave_year_fe"
eq5_persistence_heterogeneity,persist_same ~ parent_ed_score + parent_ed_score:urban + parent_ed_score:female + parent_ed_score:wave2022 + urban + female + migration_exposure + multigenerational_hh | region + cohort + wave_year_fe
