wave_year,n_total,age_non_na,own_ed_non_na,parent_ed_non_na,own_years_non_na,parent_years_non_na,region_non_na,urban_non_na,gender_non_na
2010,1157,1157,964,820,1157,938,1157,1002,1155
2016,1240,1240,671,837,1240,1186,1240,1240,1240
2022,797,797,205,383,797,782,797,797,797
